cc,country,probe,target,ip,host,rdns,rtt,server,server_cc,domestic,school_cov,serve_loc,mlab_rtt
ME,Montenegro,1003553,claude,160.79.104.10,"ANTHROPIC - Anthropic, P",?,12.376,tgd01,ME,True,62.1,,6.1
MN,Mongolia,51529,claude,160.79.104.10,"ANTHROPIC - Anthropic, P",?,1.589,uln10076,MN,True,12.9,,10.5
MN,Mongolia,52385,claude,160.79.104.10,"ANTHROPIC - Anthropic, P",?,1.807,uln10076,MN,True,12.9,,10.5
MN,Mongolia,65904,claude,160.79.104.10,"ANTHROPIC - Anthropic, P",?,1.037,uln10076,MN,True,12.9,,10.5
MW,Malawi,1004128,claude,160.79.104.10,"ANTHROPIC - Anthropic, P",?,41.56,mpm02,MZ,False,0.0,,43.5
NA,Namibia,12385,claude,160.79.104.10,"ANTHROPIC - Anthropic, P",?,17.684,cpt01,ZA,False,6.8,,42.0
NA,Namibia,12803,claude,160.79.104.10,"ANTHROPIC - Anthropic, P",?,154.749,cpt01,ZA,False,6.8,,42.0
RW,Rwanda,14955,claude,160.79.104.10,"ANTHROPIC - Anthropic, P",?,74.527,nbo01,KE,False,0.0,,160.7
TT,Trinidad and Tobago,18923,claude,160.79.104.10,"ANTHROPIC - Anthropic, P",?,2.878,bog05,CO,False,7.7,,114.4
UZ,Uzbekistan,7355,claude,160.79.104.10,"ANTHROPIC - Anthropic, P",?,3061.42,lyp138910,PK,False,81.8,,226.4
ZA,South Africa,242,claude,160.79.104.10,"ANTHROPIC - Anthropic, P",?,8.995,cpt01,ZA,True,40.2,,26.0
ZA,South Africa,3454,claude,160.79.104.10,"ANTHROPIC - Anthropic, P",?,1.915,cpt01,ZA,True,40.2,,26.0
ZA,South Africa,4153,claude,160.79.104.10,"ANTHROPIC - Anthropic, P",?,5.257,cpt01,ZA,True,40.2,,26.0
ZM,Zambia,21336,claude,160.79.104.10,"ANTHROPIC - Anthropic, P",?,46.197,jnb01,ZA,False,0.1,,25.7
AL,Albania,16235,khanacademy,146.75.117.42,"FASTLY - Fastly, Inc.",?,36.235,tgd01,ME,False,82.4,,32.3
AL,Albania,21663,khanacademy,146.75.117.42,"FASTLY - Fastly, Inc.",?,30.847,tgd01,ME,False,82.4,,32.3
BA,Bosnia and Herzegovina,4475,khanacademy,151.101.1.42,"FASTLY - Fastly, Inc.",?,,beg01,RS,False,56.3,,25.5
BA,Bosnia and Herzegovina,14628,khanacademy,199.232.17.42,"FASTLY - Fastly, Inc.",?,25.42,beg01,RS,False,56.3,,25.5
BA,Bosnia and Herzegovina,33681,khanacademy,199.232.17.42,"FASTLY - Fastly, Inc.",?,15.06,beg01,RS,False,56.3,,25.5
BJ,Benin,13245,khanacademy,151.101.1.42,"FASTLY - Fastly, Inc.",?,82.485,los02,NG,False,0.0,,12.7
BJ,Benin,60812,khanacademy,151.101.1.42,"FASTLY - Fastly, Inc.",?,89.261,los02,NG,False,0.0,,12.7
BJ,Benin,64328,khanacademy,199.232.169.42,"FASTLY - Fastly, Inc.",?,101.034,los02,NG,False,0.0,,12.7
BW,Botswana,60649,khanacademy,151.101.1.42,"FASTLY - Fastly, Inc.",?,7.686,jnb01,ZA,False,0.0,,22.3
CG,Congo (Brazzaville),64655,khanacademy,151.101.1.42,"FASTLY - Fastly, Inc.",?,81.42,los02,NG,False,0.0,,
CG,Congo (Brazzaville),65677,khanacademy,146.75.17.42,"FASTLY - Fastly, Inc.",?,166.426,los02,NG,False,0.0,,
FJ,Fiji,60575,khanacademy,151.101.29.42,"FASTLY - Fastly, Inc.",?,38.626,akl01,NZ,False,0.0,,89.7
HN,Honduras,23023,khanacademy,146.75.125.42,"FASTLY - Fastly, Inc.",?,47.062,mex01,MX,False,65.8,,80.5
HN,Honduras,61860,khanacademy,151.101.1.42,"FASTLY - Fastly, Inc.",?,57.526,mex01,MX,False,65.8,,80.5
KE,Kenya,4078,khanacademy,151.101.225.42,"FASTLY - Fastly, Inc.",?,75.15,nbo01,KE,True,13.6,,19.5
KE,Kenya,22218,khanacademy,151.101.225.42,"FASTLY - Fastly, Inc.",?,89.069,nbo01,KE,True,13.6,,19.5
KE,Kenya,50022,khanacademy,151.101.1.42,"FASTLY - Fastly, Inc.",?,59.868,nbo01,KE,True,13.6,,19.5
KG,Kyrgyzstan,64119,khanacademy,151.101.5.42,"FASTLY - Fastly, Inc.",?,99.536,lhe152605,PK,False,73.7,,235.0
KG,Kyrgyzstan,65240,khanacademy,151.101.1.42,"FASTLY - Fastly, Inc.",?,73.7,lhe152605,PK,False,73.7,,235.0
KN,Saint Kitts and Nevis,1000988,khanacademy,199.232.93.42,"FASTLY - Fastly, Inc.",?,43.899,bog05,CO,False,0.0,,170.7
KZ,Kazakhstan,4485,khanacademy,151.101.1.42,"FASTLY - Fastly, Inc.",?,103.302,lhe152605,PK,False,68.2,,233.7
KZ,Kazakhstan,6730,khanacademy,151.101.1.42,"FASTLY - Fastly, Inc.",?,98.626,lhe152605,PK,False,68.2,,233.7
KZ,Kazakhstan,6881,khanacademy,151.101.1.42,"FASTLY - Fastly, Inc.",?,73.239,lhe152605,PK,False,68.2,,233.7
LC,Saint Lucia,27546,khanacademy,146.75.125.42,"FASTLY - Fastly, Inc.",?,59.167,bog05,CO,False,0.8,,121.9
LK,Sri Lanka,35547,khanacademy,151.101.209.42,"FASTLY - Fastly, Inc.",?,26.327,maa01,IN,False,85.2,,174.9
LK,Sri Lanka,64185,khanacademy,140.248.129.42,"FASTLY - Fastly, Inc.",?,38.946,maa01,IN,False,85.2,,174.9
LS,Lesotho,62155,khanacademy,151.101.173.42,"FASTLY - Fastly, Inc.",?,11.974,jnb01,ZA,False,0.0,,13.5
MD,Republic of Moldova,11874,khanacademy,146.75.121.42,"FASTLY - Fastly, Inc.",?,35.766,sof02,BG,False,92.3,,42.1
MD,Republic of Moldova,35796,khanacademy,146.75.121.42,"FASTLY - Fastly, Inc.",?,34.175,sof02,BG,False,92.3,,42.1
MD,Republic of Moldova,64063,khanacademy,146.75.1.42,"FASTLY - Fastly, Inc.",?,17.727,sof02,BG,False,92.3,,42.1
ME,Montenegro,33300,khanacademy,199.232.17.42,"FASTLY - Fastly, Inc.",?,32.05,tgd01,ME,True,62.1,,6.1
ME,Montenegro,65986,khanacademy,151.101.1.42,"FASTLY - Fastly, Inc.",?,21.265,tgd01,ME,True,62.1,,6.1
ME,Montenegro,1003553,khanacademy,151.101.1.42,"FASTLY - Fastly, Inc.",?,21.305,tgd01,ME,True,62.1,,6.1
MN,Mongolia,51529,khanacademy,151.101.1.42,"FASTLY - Fastly, Inc.",?,61.999,uln10076,MN,True,12.9,,10.5
MN,Mongolia,52385,khanacademy,151.101.1.42,"FASTLY - Fastly, Inc.",?,62.066,uln10076,MN,True,12.9,,10.5
MN,Mongolia,65904,khanacademy,151.101.77.42,"FASTLY - Fastly, Inc.",?,52.717,uln10076,MN,True,12.9,,10.5
MW,Malawi,1004128,khanacademy,151.101.1.42,"FASTLY - Fastly, Inc.",?,77.808,mpm02,MZ,False,0.0,,43.5
NA,Namibia,12385,khanacademy,199.232.57.42,"FASTLY - Fastly, Inc.",?,134.366,cpt01,ZA,False,6.8,,42.0
NA,Namibia,12803,khanacademy,151.101.1.42,"FASTLY - Fastly, Inc.",?,82.24,cpt01,ZA,False,6.8,,42.0
RW,Rwanda,14955,khanacademy,,?,?,81.234,nbo01,KE,False,0.0,,160.7
TT,Trinidad and Tobago,18923,khanacademy,151.101.1.42,"FASTLY - Fastly, Inc.",?,61.691,bog05,CO,False,7.7,,114.4
UZ,Uzbekistan,7355,khanacademy,151.101.1.42,"FASTLY - Fastly, Inc.",?,3061.429,lyp138910,PK,False,81.8,,226.4
ZA,South Africa,242,khanacademy,151.101.225.42,"FASTLY - Fastly, Inc.",?,22.871,cpt01,ZA,True,40.2,,26.0
ZA,South Africa,3454,khanacademy,151.101.225.42,"FASTLY - Fastly, Inc.",?,2.069,cpt01,ZA,True,40.2,,26.0
ZA,South Africa,4153,khanacademy,151.101.1.42,"FASTLY - Fastly, Inc.",?,5.149,cpt01,ZA,True,40.2,,26.0
ZM,Zambia,21336,khanacademy,151.101.1.42,"FASTLY - Fastly, Inc.",?,49.485,jnb01,ZA,False,0.1,,25.7
AL,Albania,16235,wikipedia,185.15.58.224,WIKIMEDIA - Wikimedia Fo,text-lb.drmrs.wikimedia.org,48.616,tgd01,ME,False,82.4,Marseille FR,32.3
AL,Albania,21663,wikipedia,185.15.58.224,WIKIMEDIA - Wikimedia Fo,text-lb.drmrs.wikimedia.org,26.254,tgd01,ME,False,82.4,Marseille FR,32.3
BA,Bosnia and Herzegovina,4475,wikipedia,185.15.59.224,WIKIMEDIA - Wikimedia Fo,text-lb.esams.wikimedia.org,,beg01,RS,False,56.3,Amsterdam NL,25.5
BA,Bosnia and Herzegovina,14628,wikipedia,185.15.59.224,WIKIMEDIA - Wikimedia Fo,text-lb.esams.wikimedia.org,52.558,beg01,RS,False,56.3,Amsterdam NL,25.5
BA,Bosnia and Herzegovina,33681,wikipedia,185.15.59.224,WIKIMEDIA - Wikimedia Fo,text-lb.esams.wikimedia.org,30.082,beg01,RS,False,56.3,Amsterdam NL,25.5
